X,Y,GOVERNMENT,TYPE,PEA,SECTION,BLOCK,STREET,SUBURB,STATE,POSTCODE,SCHOOLCODE,DATASET,OBJECTID,SCHOOL_NAME,BLOCK_KEY,EMAIL,DEEWR_SCHOOL_ID,DESCRIPTION,WEBSITE,PHONE,MY_SCHOOL_WEBSITE,LEVEL_,APPLY_NOW,STATUS,OBJECTID_1
691323.9298,6104924.3813,No,Primary,No,73,10,26 Kellaway Avenue,Nicholls,ACT,2913,,ACTmapi,98,Holy Spirit Primary School,77080730010,admin@holyspirit.cg.catholic.edu.au,,,http://www.holyspirit.act.edu.au/,(02) 6241 8640,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,1
689199.0743,6088593.2032,No,Primary,No,61,9,18 Theodore Street,Curtin,ACT,2605,,ACTmapi,99,Holy Trinity Primary School,33280610009,admin@holytrinity.cg.catholic.edu.au,,,https://www.holytrinity.act.edu.au/,(02) 6281 4811,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,2
687165.1374,6088419.0985,No,Other,No,96,12,33 Heysen Street,Weston,ACT,2611,,ACTmapi,100,Islamic School of Canberra,44410960012,iscact@bigpond.net.au,,,http://www.islamicschoolofcanberra.act.edu.a,(02) 6288 7358,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,3
689732.7788,6085092.9229,No,College,No,49,17,27 Marr Street,Pearce,ACT,2607,,ACTmapi,101,Marist College Canberra,33310490017,enquiries@mcc.act.edu.au,,,https://www.maristc.act.edu.au/,(02) 6298 7271,https://myschool.edu.au/,11-12,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,4
694364.8985,6095247.116,No,Other,No,11,1,10 Wise Street,Braddon,ACT,2612,,ACTmapi,102,Merici College,"11060110001
",admin@merici.cg.catholic.edu.au,,,https://www.merici.act.edu.au/,(02) 6243 4100,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,5
687049.6335,6088840.3767,No,Other,No,,1126,Unwin Place (must be Street),Weston,ACT,2611,,ACTmapi,103,Orana Steiner School,40000001126,info@oranaschool.com,,,https://www.oranaschool.com/,(02) 6288 4283,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,6
689910.6577,6097801.5184,No,Other,No,4,9,1 College Street,Bruce,ACT,2617,,ACTmapi,104,Radford College,55550040009,Principal@radford.act.edu.au,,,https://www.radford.act.edu.au/,(02) 6162 6200,https://myschool.edu.au/,,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,7
696172.6536,6097647.1787,No,Other,No,49,3,9 Fleming Street,Watson,ACT,2602,,ACTmapi,105,Rosary Primary School,11250490003,admin@rosaryps.cg.catholic.edu.au,,,http://www.rosary.act.edu.au/,(02) 6248 0010,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,8
689301.1669,6084369.8996,No,Other,No,43,2,29 Murphy Street,Pearce,ACT,2607,,ACTmapi,106,Sacred Heart Primary School,33310430002,admin@sacredhps.cg.catholic.edu.au,,,http://www.sacredhps.act.edu.au/,(02) 6286 2443,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,9
686468.1569,6082791.9142,No,Other,No,173,1,39 Boddington Crescent,Kambah,ACT,2902,,ACTmapi,125,St Thomas The Apostle Primary School,66011730001,office@sttap.cg.catholic.edu.au,,,http://www.sttap.act.edu.au/,(02) 6231 4144,https://myschool.edu.au/,P-6,http://www.education.act.gov.au/school_education/enrolling_in_an_act_public_school,ACTIVE,10
